county,locationid,year,dogkill,population,unemployed,medincome,perpoverty,poverty,vtdummy,statedum,state,nvdummy,ctdummy,medummy,ordercount,expenditures,count,county_vcrime,state_vcrime_report,state_vcrime_est,countyid,_merge,black,na,hisp,countlag,explag,minority,kill,stateid,nhdummy,drugest,lb,ub,t,t2,t3,killlag,logexpenditures,logmedincome,logpopulation,logblack,logcounty_vcrime,logminority,logexplag,dogkilllag,changecount,changecountdog,meancount,meancountdog
New London,906,2006,0,210396,6738,59719,,13044,0,1,Connecticut,0,1,0,0,0,0,,,,,1,13919,1401,21332,0,0,,0,1,0,,,,1,1,1,0,0,10.9974050521851,12.2567462921143,9.54108238220215,,,,,,,0.375,0
New London,906,2007,0,212806,7201,61842,,12981,0,1,Connecticut,0,1,0,6,828,0,,,,,1,13919,1401,21332,0,0,,0,1,0,,,,2,4,8,0,6.72022008895874,11.032338142395,12.2681360244751,9.54108238220215,,,0,0,0,0,0.375,0
New London,906,2008,0,211952,6819,80322,,13564,0,1,Connecticut,0,1,0,35,10245,0,,,,,1,13919,1401,21332,0,828,,0,1,0,8.6899995803833,7.23000001907349,10.4099998474121,3,9,27,0,9.23464298248291,11.2937984466553,12.2641153335571,9.54108238220215,,,6.72022008895874,0,0,0,0.375,0
New London,906,2009,0,213772,8670,65217,,14964,0,1,Connecticut,0,1,0,0,0,1,,,,,1,13919,1401,21332,0,10245,,1,1,0,9.42000007629395,7.8600001335144,11.2399997711182,4,16,64,0,0,11.0854759216309,12.2726650238037,9.54108238220215,,,9.23464298248291,0,1,0,0.375,0
New London,906,2010,0,220269,10672,65958,,13216,0,1,Connecticut,0,1,0,0,0,0,,,,,1,13919,1401,21332,1,0,,0,1,0,8.97000026702881,7.46000003814697,10.7399997711182,5,25,125,1,0,11.096773147583,12.302604675293,9.54108238220215,,,0,0,-1,0,0.375,0
New London,906,2011,0,222183,12581,64788,,19552,0,1,Connecticut,0,1,0,0,0,0,,,,,1,13919,1401,21332,0,0,,0,1,0,9.5,7.94999980926514,11.3299999237061,6,36,216,0,0,11.078875541687,12.3112564086914,9.54108238220215,,,0,0,0,0,0.375,0
New London,906,2012,0,224650,12940,66603,,20667,0,1,Connecticut,0,1,0,17,97555,0,,,,,1,13919,1401,21332,0,0,,0,1,0,9.93000030517578,,,7,49,343,0,11.4881820678711,11.1065044403076,12.3222990036011,9.54108238220215,,,0,0,0,0,0.375,0
New London,906,2013,0,224150,12888,62883,,20173,0,1,Connecticut,0,1,0,2,95978,2,,,,,1,13919,1401,21332,0,97555,,1,1,0,9.94999980926514,,,8,64,512,0,11.471884727478,11.0490312576294,12.320071220398,9.54108238220215,,,11.4881820678711,0,2,0,0.375,0
Tolland,907,2006,0,122530,5152,69862,,6616,0,1,Connecticut,0,1,0,0,0,0,,,,,1,3883,259,6155,1,0,,0,1,0,,,,1,1,1,1,0,11.1542768478394,11.7161111831665,8.26462078094482,,,,,,,0,0
Tolland,907,2007,0,121285,4344,74949,,6913,0,1,Connecticut,0,1,0,8,2548,0,,,,,1,3883,259,6155,0,0,,0,1,0,,,,2,4,8,0,7.84345626831055,11.2245635986328,11.7058982849121,8.26462078094482,,,0,0,0,0,0,0
